pmid,title,year,journal,pmc_id
21545724,Serotonin transporter gene polymorphisms and brain function during emotional distraction from cognitive processing in posttraumatic stress disorder.,2011,BMC psychiatry,PMC3112079
21764567,Serotonin transporter genotype modulates the association between depressive symptoms and amygdala activity among psychiatrically healthy adults.,2011,Psychiatry research,PMC3156965
21787793,Impact of chronic hypercortisolemia on affective processing.,2012,Neuropharmacology,PMC3196277
21855859,Reduced amygdala serotonin transporter binding in posttraumatic stress disorder.,2011,Biological psychiatry,PMC3207037
21893657,The effect of early trauma exposure on serotonin type 1B receptor expression revealed by reduced selective radioligand binding.,2011,Archives of general psychiatry,PMC3244836
21912658,Fluoxetine during development reverses the effects of prenatal stress on depressive-like behavior and hippocampal neurogenesis in adolescence.,2011,PloS one,PMC3164681
21969419,Anterior cingulate cortex γ-aminobutyric acid in depressed adolescents: relationship to anhedonia.,2012,Archives of general psychiatry,PMC3711232
22099606,Abnormal anterior cingulate cortical activity during emotional n-back task performance distinguishes bipolar from unipolar depressed females.,2012,Psychological medicine,PMC3601380
22264442,Adenylate cyclase 7 is implicated in the biology of depression and modulation of affective neural circuitry.,2012,Biological psychiatry,PMC3307939
22265870,Preliminary evidence for obesity and elevations in fasting insulin mediating associations between cortisol awakening response and hippocampal volumes and frontal atrophy.,2012,Psychoneuroendocrinology,PMC3337891
22267183,Brain activity in adolescent major depressive disorder before and after fluoxetine treatment.,2012,The American journal of psychiatry,PMC4225078
22403745,Effects of arterial cannulation stress on regional cerebral blood flow in major depressive disorder.,2012,Scientific reports,PMC3297085
22407082,Mineralocorticoid receptor Iso/Val (rs5522) genotype moderates the association between previous childhood emotional neglect and amygdala reactivity.,2012,The American journal of psychiatry,PMC4700829
22420592,Amygdala activity and prefrontal cortex-amygdala effective connectivity to emerging emotional faces distinguish remitted and depressed mood states in bipolar disorder.,2012,Bipolar disorders,PMC3703524
22498078,Smaller hippocampal volumes in patients with bipolar disorder are masked by exposure to lithium: a meta-analysis.,2012,Journal of psychiatry & neuroscience : JPN,PMC3447132
22519864,Default mode network connectivity in children with a history of preschool onset depression.,2012,"Journal of child psychology and psychiatry, and allied disciplines",PMC3437619
22548411,"Depression, hippocampal volume changes, and cognitive decline in a clinical sample of older depressed outpatients and non-depressed controls.",2012,Aging & mental health,PMC3430833
22569152,Pubertal stage and brain anatomy in girls.,2012,Neuroscience,PMC4584426
22571805,Heterogeneity of amygdala response in major depressive disorder: the impact of lifetime subthreshold mania.,2013,Psychological medicine,PMC3773940
22658708,Efficacy of transcranial magnetic stimulation targets for depression is related to intrinsic functional connectivity with the subgenual cingulate.,2012,Biological psychiatry,PMC4120275
22832815,Post-traumatic anxiety associates with failure of the innate immune receptor TLR9 to evade the pro-inflammatory NFκB pathway.,2012,Translational psychiatry,PMC3309554
22832853,Reduced expression of glucocorticoid-inducible genes GILZ and SGK-1: high IL-6 levels are associated with reduced hippocampal volumes in major depressive disorder.,2012,Translational psychiatry,PMC3309536
22889863,Reduced phosphorylation of the mTOR signaling pathway components in the amygdala of rats exposed to chronic stress.,2013,Progress in neuro-psychopharmacology & biological psychiatry,PMC3519947
22900032,Long-lasting hippocampal synaptic protein loss in a mouse model of posttraumatic stress disorder.,2012,PloS one,PMC3416820
22939462,"α Power, α asymmetry and anterior cingulate cortex activity in depressed males and females.",2012,Journal of psychiatric research,PMC3463760
23055092,Structural-functional correlations between hippocampal volume and cortico-limbic emotional responses in depressed children.,2013,"Cognitive, affective & behavioral neuroscience",PMC3557609
23056309,The extended functional neuroanatomy of emotional processing biases for masked faces in major depressive disorder.,2012,PloS one,PMC3466291
23056477,Early altered resting-state functional connectivity predicts the severity of post-traumatic stress disorder symptoms in acutely traumatized subjects.,2012,PloS one,PMC3462752
23143517,Developmental pathways to amygdala-prefrontal function and internalizing symptoms in adolescence,2012,Nature neuroscience,PMC3509229
23184639,Aberrant amygdala-frontal cortex connectivity during perception of fearful faces and at rest in generalized social anxiety disorder.,2013,Depression and anxiety,PMC3987867
23201176,Single prolonged stress enhances hippocampal glucocorticoid receptor and phosphorylated protein kinase B levels.,2013,Neuroscience research,PMC3604057
23201228,Hippocampal volume and total cell numbers in major depressive disorder.,2013,Journal of psychiatric research,PMC3757567
23298715,Shifted inferior frontal laterality in women with major depressive disorder is related to emotion-processing deficits.,2013,Psychological medicine,PMC4380502
23325372,Adjunctive aripiprazole therapy with escitalopram in patients with co-morbid major depressive disorder and alcohol dependence: clinical and neuroimaging evidence.,2013,"Journal of psychopharmacology (Oxford, England)",PMC4651436
23453674,"A randomized, placebo-controlled proof-of-concept, crossover trial of phenytoin for hydrocortisone-induced declarative memory changes.",2013,Journal of affective disorders,PMC3689865
23565195,Social agonistic distress in male and female mice: changes of behavior and brain monoamine functioning in relation to acute and chronic challenges.,2013,PloS one,PMC3614949
23592753,"Impact of sleep quality on amygdala reactivity, negative affect, and perceived stress.",2013,Psychosomatic medicine,PMC3747835
23636842,"Disrupted ventromedial prefrontal function, alcohol craving, and subsequent relapse risk.",2013,JAMA psychiatry,PMC3788824
23776553,Voxel-based morphometry in women with borderline personality disorder with and without comorbid posttraumatic stress disorder.,2013,PloS one,PMC3680473
23861191,Insula and anterior cingulate GABA levels in posttraumatic stress disorder: preliminary findings using magnetic resonance spectroscopy.,2014,Depression and anxiety,PMC3894264
23891965,HPA-axis hormone modulation of stress response circuitry activity in women with remitted major depression.,2013,Neuroscience,PMC3772711
23930595,Fronto-limbic-striatal dysfunction in pediatric and adult patients with bipolar disorder: impact of face emotion and attentional demands.,2014,Psychological medicine,PMC3922892
24040385,Abnormal functional connectivity of amygdala in late-onset depression was associated with cognitive deficits.,2013,PloS one,PMC3769296
24144505,Resting state functional connectivity and treatment response in late-life depression.,2013,Psychiatry research,PMC3865521
24285346,Parsing dimensional vs diagnostic category-related patterns of reward circuitry function in behaviorally and emotionally dysregulated youth in the Longitudinal Assessment of Manic Symptoms study.,2014,JAMA psychiatry,PMC4238412
24367606,Mesiotemporal volume loss associated with disorder severity: a VBM study in borderline personality disorder.,2013,PloS one,PMC3867453
24397999,Girls' challenging social experiences in early adolescence predict neural response to rewards and depressive symptoms.,2014,Developmental cognitive neuroscience,PMC3960334
24465557,Association between glucocorticoid receptor methylation and hippocampal subfields in major depressive disorder.,2014,PloS one,PMC3897456
24551226,Predator exposure/psychosocial stress animal model of post-traumatic stress disorder modulates neurotransmitters in the rat hippocampus and prefrontal cortex.,2014,PloS one,PMC3925189
24645731,Cortical thickness in youth with major depressive disorder,2014,BMC psychiatry,PMC3994552
24661157,Neural substrates of trait ruminations in depression.,2014,Journal of abnormal psychology,PMC4128503
24675061,Glutamate and GABA imbalance promotes neuronal apoptosis in hippocampus after stress.,2014,Medical science monitor : international medical journal of experimental and clinical research,PMC3976216
24713859,"Regional increases of cortical thickness in untreated, first-episode major depressive disorder.",2014,Translational psychiatry,PMC4012282
24740310,Diffusion kurtosis imaging and high-resolution MRI demonstrate structural aberrations of caudate putamen and amygdala after chronic mild stress.,2014,PloS one,PMC3989315
24745028,"Volumetric analysis of amygdala, hippocampus, and prefrontal cortex in therapy-naive PTSD participants",2014,BioMed research international,PMC3972941
24796287,Pattern separation of emotional information in hippocampal dentate and CA3.,2014,Hippocampus,PMC4172604
24804219,Dissociable self effects for emotion regulation: a study of Chinese major depressive outpatients.,2014,BioMed research international,PMC3996314
24831808,The different roles of glucocorticoids in the hippocampus and hypothalamus in chronic stress-induced HPA axis hyperactivity.,2014,PloS one,PMC4022669
24993057,Behavioral problems after early life stress: contributions of the hippocampus and amygdala.,2015,Biological psychiatry,PMC4241384
25000505,Structural impairments of hippocampus in coal mine gas explosion-related posttraumatic stress disorder.,2014,PloS one,PMC4085015
25051163,Insular and hippocampal gray matter volume reductions in patients with major depressive disorder,2014,PloS one,PMC4106847
25224537,Inflammation early in life is a vulnerability factor for emotional behavior at adolescence and for lipopolysaccharide-induced spatial memory and neurogenesis alteration at adulthood.,2014,Journal of neuroinflammation,PMC4172903
25266915,Peripheral antioxidant markers are associated with total hippocampal and CA3/dentate gyrus volume in MDD and healthy controls-preliminary findings.,2014,Psychiatry research,PMC4254356
25338068,Hippocampal and left subcallosal anterior cingulate atrophy in psychotic depression,2014,PloS one,PMC4206433
25379418,Links between white matter microstructure and cortisol reactivity to stress in early childhood: evidence for moderation by parenting.,2014,NeuroImage. Clinical,PMC4215465
25422962,Brain-behavior relationships in the experience and regulation of negative emotion in healthy children: implications for risk for childhood depression.,2014,Development and psychopathology,PMC4624303
25486577,Neuroprotective kynurenine metabolite indices are abnormally reduced and positively associated with hippocampal and amygdalar volume in bipolar disorder.,2015,Psychoneuroendocrinology,PMC4297593
25583614,"HPA axis genetic variation, pubertal status, and sex interact to predict amygdala and hippocampus responses to negative emotional faces in school-age children.",2015,NeuroImage,PMC4340765
25609596,GPR39 (zinc receptor) knockout mice exhibit depression-like behavior and CREB/BDNF down-regulation in the hippocampus.,2014,The international journal of neuropsychopharmacology,PMC4360246
25629589,"Role of translocator protein density, a marker of neuroinflammation, in the brain during major depressive episodes.",2015,JAMA psychiatry,PMC4836849
25635920,Neural Aspects of Inhibition Following Emotional Primes in Depressed Adolescents.,2016,"Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53",PMC4520793
25675343,Affective neural responses modulated by serotonin transporter genotype in clinical anxiety and depression.,2015,PloS one,PMC4344476
25685707,Adolescents with current major depressive disorder show dissimilar patterns of age-related differences in ACC and thalamus.,2015,NeuroImage. Clinical,PMC4309951
25692480,Amygdala-hippocampal volume and the phenotypic heterogeneity of posttraumatic stress disorder: a cross-sectional study,2015,JAMA psychiatry,PMC5134909
25829180,"A Prospective, Longitudinal Study of the Effect of Remission on Cortical Thickness and Hippocampal Volume in Patients with Treatment-Resistant Depression.",2015,The international journal of neuropsychopharmacology,PMC4571636
25842202,Structural Plasticity of the Hippocampus and Amygdala Induced by Electroconvulsive Therapy in Major Depression.,2016,Biological psychiatry,PMC4561035
25894440,"Attention bias modification for major depressive disorder: Effects on attention bias, resting state connectivity, and symptom change.",2015,Journal of abnormal psychology,PMC4573770
25898329,Perceived life stress exposure modulates reward-related medial prefrontal cortex responses to acute stress in depression.,2015,Journal of affective disorders,PMC4451940
26106565,Functional and structural brain correlates of risk for major depression in children with familial depression.,2015,NeuroImage. Clinical,PMC4474282
26110110,Hippocampal volume correlates with attenuated negative psychotic symptoms irrespective of antidepressant medication.,2015,NeuroImage. Clinical,PMC4473852
26122586,Subcortical brain alterations in major depressive disorder: findings from the ENIGMA Major Depressive Disorder working group.,2016,Molecular psychiatry,PMC4879183
26147571,Altered Resting-State Brain Activity and Connectivity in Depressed Parkinson's Disease.,2015,PloS one,PMC4492789
26315399,Cortical thickness predicts the first onset of major depression in adolescence.,2015,International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience,PMC4604750
26318631,Prenatal stress programs neuroendocrine stress responses and affective behaviors in second generation rats in a sex-dependent manner.,2015,Psychoneuroendocrinology,PMC4642655
26362775,Hippocampal PPARδ Overexpression or Activation Represses Stress-Induced Depressive Behaviors and Enhances Neurogenesis.,2015,The international journal of neuropsychopharmacology,PMC4772271
26376217,"Sex differences in cell genesis, hippocampal volume and behavioral outcomes in a rat model of neonatal HI.",2016,Experimental neurology,PMC4688089
26477647,Amygdala responses to salient social cues vary with oxytocin receptor genotype in youth.,2015,Neuropsychologia,PMC4679629
26522869,Amygdala response predicts trajectory of symptom reduction during Trauma-Focused Cognitive-Behavioral Therapy among adolescent girls with PTSD.,2015,Journal of psychiatric research,PMC4826076
26621569,Medial Prefrontal Aberrations in Major Depressive Disorder Revealed by Cytoarchitectonically Informed Voxel-Based Morphometry,2016,The American journal of psychiatry,PMC5441234
26645631,"Fluoxetine effects on molecular, cellular and behavioral endophenotypes of depression are driven by the living environment.",2017,Molecular psychiatry,PMC5378807
26742791,Density of GFAP-immunoreactive astrocytes is decreased in left hippocampi in major depressive disorder.,2016,Neuroscience,PMC4836620
26809249,"Hippocampal Neuroinflammation, Functional Connectivity, and Depressive Symptoms in Multiple Sclerosis.",2016,Biological psychiatry,PMC4918731
26821211,Sustained glucocorticoid exposure recruits cortico-limbic CRH signaling to modulate endocannabinoid function.,2016,Psychoneuroendocrinology,PMC4788523
26863301,Disrupted Structural and Functional Connectivity in Prefrontal-Hippocampus Circuitry in First-Episode Medication-Naïve Adolescent Depression.,2016,PloS one,PMC4749380
26888619,Differential Resting State Connectivity Patterns and Impaired Semantically Cued List Learning Test Performance in Early Course Remitted Major Depressive Disorder.,2016,Journal of the International Neuropsychological Society : JINS,PMC4844801
27035063,Amygdala volume is reduced in early course schizophrenia.,2016,Psychiatry research. Neuroimaging,PMC4904038
27091600,Kynurenine pathway metabolites are associated with hippocampal activity during autobiographical memory recall in patients with depression.,2016,"Brain, behavior, and immunity",PMC4917447
27144832,Perceived Stress Is Differentially Related to Hippocampal Subfield Volumes among Older Adults.,2016,PloS one,PMC4856349
27192082,Task and Resting-State fMRI Reveal Altered Salience Responses to Positive Stimuli in Patients with Major Depressive Disorder.,2016,PloS one,PMC4871416
27271858,"Electroconvulsive therapy and structural neuroplasticity in neocortical, limbic and paralimbic cortex.",2016,Translational psychiatry,PMC4931600
27288958,Relationship of recent stress to amygdala volume in depressed and healthy adults.,2016,Journal of affective disorders,PMC8903078
27291341,Brain mechanisms of anxiety's effects on cognitive control in major depressive disorder.,2016,Psychological medicine,PMC4946974
27317876,Cingulate and thalamic metabolites in obsessive-compulsive disorder,2016,Psychiatry research. Neuroimaging,PMC5780184
27362845,Preliminary differences in resting state MEG functional connectivity pre- and post-ketamine in major depressive disorder.,2016,Psychiatry research. Neuroimaging,PMC4992587
27366831,Amygdala response to explicit sad face stimuli at baseline predicts antidepressant treatment response to scopolamine in major depressive disorder.,2016,Psychiatry research. Neuroimaging,PMC6711385
27459031,Decreased anticipated pleasure correlates with increased salience network resting state functional connectivity in adolescents with depressive symptomatology,2016,Journal of psychiatric research,PMC5036507
27459724,Impaired fornix-hippocampus integrity is linked to peripheral glutathione peroxidase in early psychosis.,2016,Translational psychiatry,PMC5545707
27591712,"Amygdala habituation to emotional faces in adolescents with internalizing disorders, adolescents with childhood sexual abuse related PTSD and healthy adolescents.",2016,Developmental cognitive neuroscience,PMC6987649
27685801,"Prefrontal cortex, temporal cortex, and hippocampus volume are affected in suicidal psychiatric patients.",2016,Psychiatry research. Neuroimaging,PMC9694115
27701413,Neuropsin Inactivation Has Protective Effects against Depressive-Like Behaviours and Memory Impairment Induced by Chronic Stress.,2016,PLoS genetics,PMC5049781
27774683,Stress as a mnemonic filter: Interactions between medial temporal lobe encoding processes and post-encoding stress.,2017,Hippocampus,PMC5436703
27779623,"Emergence of social behavior deficit, blunted corticolimbic activity and adult depression-like behavior in a rodent model of maternal maltreatment.",2016,Translational psychiatry,PMC5290349
27801896,Alterations in amygdala-prefrontal circuits in infants exposed to prenatal maternal depression.,2016,Translational psychiatry,PMC5314110
27844058,Western High-Fat Diet Consumption during Adolescence Increases Susceptibility to Traumatic Stress while Selectively Disrupting Hippocampal and Ventricular Volumes.,2016,eNeuro,PMC5099604
27844456,Cortical plasticity between the pain and pain-free phases in patients with episodic tension-type headache.,2016,The journal of headache and pain,PMC5108736
27872489,Experience-Driven Differences in Childhood Cortisol Predict Affect-Relevant Brain Function and Coping in Adolescent Monozygotic Twins.,2016,Scientific reports,PMC5181835
27918273,Neural circuits via which single prolonged stress exposure leads to fear extinction retention deficits.,2016,"Learning & memory (Cold Spring Harbor, N.Y.)",PMC5110987
28030612,Distinct and Shared Endophenotypes of Neural Substrates in Bipolar and Major Depressive Disorders.,2016,PloS one,PMC5193412
28030757,Altered resting state functional connectivity of fear and reward circuitry in comorbid PTSD and major depression.,2017,Depression and anxiety,PMC5667358
28034960,Elevated DNA Oxidation and DNA Repair Enzyme Expression in Brain White Matter in Major Depressive Disorder.,2017,The international journal of neuropsychopharmacology,PMC5412018
28045980,Long-Term Effects of Acute Stress on the Prefrontal-Limbic System in the Healthy Adult.,2017,PloS one,PMC5207406
28070120,"The protocadherin 17 gene affects cognition, personality, amygdala structure and function, synapse development and risk of major mood disorders",2018,Molecular psychiatry,PMC5794872
28085210,Disruption of amygdala-entorhinal-hippocampal network in late-life depression.,2017,Hippocampus,PMC5858586
28100219,Increased amygdala reactivity following early life stress: a potential resilience enhancer role.,2017,BMC psychiatry,PMC5241989
28107446,Amygdala Atrophy and Its Functional Disconnection with the Cortico-Striatal-Pallidal-Thalamic Circuit in Major Depressive Disorder in Females.,2017,PloS one,PMC5249227
28115740,Hippocampal subfield volumes in mood disorders.,2017,Molecular psychiatry,PMC5524625
28212570,Altered amygdala and hippocampus effective connectivity in mild cognitive impairment patients with depression: a resting-state functional MR imaging study with granger causality analysis.,2017,Oncotarget,PMC5421906
28369737,Insula and amygdala resting-state functional connectivity differentiate bipolar from unipolar depression.,2017,Acta psychiatrica Scandinavica,PMC5464981
28407727,Randomized Clinical Trial of Real-Time fMRI Amygdala Neurofeedback for Major Depressive Disorder: Effects on Symptoms and Autobiographical Memory Recall.,2017,The American journal of psychiatry,PMC5538952
28452713,Decreased uncinate fasciculus tract integrity in male and female patients with PTSD: a diffusion tensor imaging study.,2017,Journal of psychiatry & neuroscience : JPN,PMC5573575
28462086,Predicting cognitive behavioral therapy response in social anxiety disorder with anterior cingulate cortex and amygdala during emotion regulation.,2017,NeuroImage. Clinical,PMC5403806
28476207,Real-Time Functional Magnetic Resonance Imaging Amygdala Neurofeedback Changes Positive Information Processing in Major Depressive Disorder.,2017,Biological psychiatry,PMC5610066
28550256,Cortical Thickness and Depressive Symptoms in Cognitively Normal Individuals: The Mayo Clinic Study of Aging.,2017,Journal of Alzheimer's disease : JAD,PMC5713905
28607927,Depression and Anxiety Scores Are Associated with Amygdala Volume in Cushing's Syndrome: Preliminary Study.,2017,BioMed research international,PMC5451775
28633076,Resting-state functional connectivity of anterior and posterior hippocampus in posttraumatic stress disorder.,2017,Journal of psychiatric research,PMC5605418
28643948,Investigating the separate and interactive associations of trauma and depression on brain structure: implications for cognition and aging.,2017,International journal of geriatric psychiatry,PMC5638677
28706188,Lack of Social Support Raises Stress Vulnerability in Rats with a History of Ancestral Stress.,2017,Scientific reports,PMC5509705
28802862,MicroRNA-21: Expression in oligodendrocytes and correlation with low myelin mRNAs in depression and alcoholism,2017,Progress in neuro-psychopharmacology & biological psychiatry,PMC5610939
28814751,Comparison of chronic physical and emotional social defeat stress effects on mesocorticolimbic circuit activation and voluntary consumption of morphine.,2017,Scientific reports,PMC5559445
28850111,Accelerated DNA methylation age in adolescent girls: associations with elevated diurnal cortisol and reduced hippocampal volume.,2017,Translational psychiatry,PMC5611751
28882830,Autobiographical memory: a candidate latent vulnerability mechanism for psychiatric disorder following childhood maltreatment.,2017,The British journal of psychiatry : the journal of mental science,PMC5623877
29054677,Expression of the PPM1F Gene Is Regulated by Stress and Associated With Anxiety and Depression.,2018,Biological psychiatry,PMC5743606
29063521,Blunted amygdala activity is associated with depression severity in treatment-resistant depression.,2017,"Cognitive, affective & behavioral neuroscience",PMC5728990
29110899,The Role of the Hippocampus in Predicting Future Posttraumatic Stress Disorder Symptoms in Recently Traumatized Civilians.,2018,Biological psychiatry,PMC5860925
29181816,Nicotine-induced activation of caudate and anterior cingulate cortex in response to errors in schizophrenia.,2018,Psychopharmacology,PMC5823729
29217296,Smaller Hippocampal Volume in Posttraumatic Stress Disorder: A Multisite ENIGMA-PGC Study: Subcortical Volumetry Results From Posttraumatic Stress Disorder Consortia.,2018,Biological psychiatry,PMC5951719
29230507,Evidence for regional hippocampal damage in patients with schizophrenia.,2018,Neuroradiology,PMC7030975
29246978,Stress leads to aberrant hippocampal involvement when processing schema-related information.,2018,"Learning & memory (Cold Spring Harbor, N.Y.)",PMC5733469
29292158,Using c-Jun to identify fear extinction learning-specific patterns of neural activity that are affected by single prolonged stress.,2018,Behavioural brain research,PMC5800954
29304386,The neurobiology of self face recognition among depressed adolescents.,2018,Journal of affective disorders,PMC5898821
29381390,Associations between subclinical depressive symptoms and reduced brain volume in middle-aged to older adults.,2019,Aging & mental health,PMC6066456
29422521,The pulvinar nucleus and antidepressant treatment: dynamic modeling of antidepressant response and remission with ultra-high field functional MRI.,2019,Molecular psychiatry,PMC6756007
29452218,TNFα disrupts blood brain barrier integrity to maintain prolonged depressive-like behavior in mice.,2018,"Brain, behavior, and immunity",PMC5963697
29471082,Anhedonic behavior and γ-amino butyric acid during a sensitive period in female rats exposed to early adversity.,2018,Journal of psychiatric research,PMC6295145
29550938,In vivo relationship between serotonin 1A receptor binding and gray matter volume in the healthy brain and in major depressive disorder.,2018,Brain structure & function,PMC6450806
29628069,Experiences of Discrimination Are Associated With Greater Resting Amygdala Activity and Functional Connectivity.,2018,Biological psychiatry. Cognitive neuroscience and neuroimaging,PMC5897058
29689500,Neural correlates of top-down regulation and generation of negative affect in major depressive disorder.,2018,Psychiatry research. Neuroimaging,PMC6010205
29764396,Functional connectivity of hippocampal subregions in PTSD: relations with symptoms.,2018,BMC psychiatry,PMC5952576
29799860,Neurotrophic factors and hippocampal activity in PTSD.,2018,PloS one,PMC5969740
29890029,Community violence exposure in early adolescence: Longitudinal associations with hippocampal and amygdala volume and resting state connectivity.,2018,Developmental science,PMC11694245
29977030,Magnetic resonance imaging evidence of hippocampal structural changes in patients with primary biliary cholangitis.,2018,Clinical and translational gastroenterology,PMC6033882
30006199,Volume of the Human Hippocampus and Clinical Response Following Electroconvulsive Therapy.,2018,Biological psychiatry,PMC6697556
30022427,Resting-state connectivity and spontaneous activity of ventromedial prefrontal cortex predict depressive symptomology and peripheral inflammation in HIV.,2018,Journal of neurovirology,PMC6202140
30035247,Cerebellar and prefrontal cortical alterations in PTSD: structural and functional evidence.,2018,"Chronic stress (Thousand Oaks, Calif.)",PMC6054445
30076980,Inflammation negatively correlates with amygdala-ventromedial prefrontal functional connectivity in association with anxiety in patients with depression: Preliminary results.,2018,"Brain, behavior, and immunity",PMC6129411
30142814,Magnetic resonance study on the brain structure and resting-state brain functional connectivity in primary insomnia patients,2018,Medicine,PMC6113012
30169690,Maternal Deprivation Enhances Contextual Fear Memory via Epigenetically Programming Second-Hit Stress-Induced Reelin Expression in Adult Rats.,2018,The international journal of neuropsychopharmacology,PMC6209857
30223909,Prefrontal glutamate levels predict altered amygdala-prefrontal connectivity in traumatized youths,2019,Psychological medicine,PMC6650776
30229715,Hippocampal-subregion functional alterations associated with antidepressant effects and cognitive impairments of electroconvulsive therapy.,2019,Psychological medicine,PMC6518386
30260530,Exposure-based therapy changes amygdala and hippocampus resting-state functional connectivity in patients with posttraumatic stress disorder.,2018,Depression and anxiety,PMC6168398
30266022,Does development moderate the effect of early life assaultive violence on resting-state networks? An exploratory study.,2018,Psychiatry research. Neuroimaging,PMC6373177
30414987,The regulation of positive and negative emotions through instructed causal attributions in lifetime depression - A functional magnetic resonance imaging study.,2018,NeuroImage. Clinical,PMC6234525
30526621,Hippocampal CA1 βCaMKII mediates neuroinflammatory responses via COX-2/PGE2 signaling pathways in depression.,2018,Journal of neuroinflammation,PMC6286788
30528926,Bullying victimization in typically developing and clinical high risk (CHR) adolescents: A multimodal imaging study.,2019,Schizophrenia research,PMC6555683
30529716,Resting amygdala connectivity and basal sympathetic tone as markers of chronic hypervigilance.,2019,Psychoneuroendocrinology,PMC6605037
30608940,Altered reward processing following an acute social stressor in adolescents.,2019,PloS one,PMC6319717
30809764,Marijuana use and major depressive disorder are additively associated with reduced verbal learning and altered cortical thickness.,2019,"Cognitive, affective & behavioral neuroscience",PMC6933749
30861143,Transdiagnostic trauma severity in anxiety and mood disorders: Functional brain activity during emotional scene processing,2020,Psychophysiology,PMC8785193
30898126,Effects of oxytocin on prosocial behavior and the associated profiles of oxytocinergic and corticotropin-releasing hormone receptors in a rodent model of posttraumatic stress disorder.,2019,Journal of biomedical science,PMC6427848
30903270,The neural correlates of low social integration as a risk factor for suicide.,2020,European archives of psychiatry and clinical neuroscience,PMC6756996
30905689,"Involvement in Sports, Hippocampal Volume, and Depressive Symptoms in Children.",2019,Biological psychiatry. Cognitive neuroscience and neuroimaging,PMC6500760
31158720,Examining raphe-amygdala structural connectivity as a biological predictor of SSRI response.,2019,Journal of affective disorders,PMC6750958
31175352,Hippocampal Subfields in Acute and Remitted Depression-an Ultra-High Field Magnetic Resonance Imaging Study.,2019,The international journal of neuropsychopharmacology,PMC6672627
31200165,Anxiety symptoms are associated with smaller insular and orbitofrontal cortex volumes in late-life depression.,2019,Journal of affective disorders,PMC6750975
31260599,Association between posttraumatic stress disorder severity and amygdala habituation to fearful stimuli.,2019,Depression and anxiety,PMC6943827
31268909,Adolescent stress increases depression-like behaviors and alters the excitatory-inhibitory balance in aged mice.,2019,Chinese medical journal,PMC6759106
31310906,Differential neural responding to affective stimuli in 6- to 8-year old children at high familial risk for depression: Associations with behavioral reward seeking.,2019,Journal of affective disorders,PMC6711822
31324591,Bidirectional Associations Between Stress and Reward Processing in Children and Adolescents: A Longitudinal Neuroimaging Study.,2019,Biological psychiatry. Cognitive neuroscience and neuroimaging,PMC6783352
